campaign_id,domain,dns_status,verified_via,verified_date
194,fruttale-haveria.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
195,fruttalehaveria.net,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
196,regia-patrimonza.net,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
197,justedevisencal.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
198,wartoszak.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
199,trouw-rentetria.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
200,trouwrentetria.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
201,vast-winstburg.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
202,mienie-rentowinia.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
203,vrucht-hebbore.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
204,pomysl-kontrolnia.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
205,operace-urokez.pro,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
206,fractio-moyenoire.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
207,rivonaris-pro.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
208,frame-edex-opt.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
209,sablefundshore.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
210,cumulvenza.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
211,cumulvenza.net,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
212,cumulvenza-it.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
213,likvidi-kurso.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
214,dotanciere.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
215,handel-avkastor.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
216,vinstvera.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
217,bystra-hodnotex.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
218,bystrahodnotex.net,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
219,justoridevancais.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
220,obiegrix.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
221,movistar-fusion.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
222,libranzoria.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
223,aurumvelite.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
224,aurum-velite.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
225,havan-x-empiricus.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
231,crownex-gpt.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
247,wartoszak.app,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
251,vkladera.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
254,zywa-kapiter.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
260,kasa-dochodnosc.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
266,smialafundoria.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
272,kontrola-stosowin.net,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
292,solstice-riskler.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
297,claro-nexora.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
308,crypto-pontix.com,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
317,bramley-fundex.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
330,kontrola-stosowin.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
334,smiala-fundoria.org,NXDOMAIN,google_8.8.8.8+cloudflare_1.1.1.1+quad9_9.9.9.9_all_NXDOMAIN,2026-08-27
